,time,news_provider,related_instrument,headline,date
104,23:59:39,COIN,BNB=,Crypto-Related Stocks Drop Alongside Bitcoin on CFTC Binance Suit,2023-03-27
105,23:36:31,COIN,BTC= BNB=,"CFTC Sues Binance, CZ Over 'Willful Evasion' of U.S. Laws, Unregistered Crypto Derivatives Products",2023-03-27
106,19:54:15,COIN,USD= MS.N,Bitcoin Has Benefited From U.S. Dollar Liquidity to Support Banks: Morgan Stanley,2023-03-27
107,19:17:13,COIN,BTC=,FTX Bankruptcy Estate Consolidates Arbitrum Airdrop Tokens Into Single Wallet,2023-03-27
108,15:42:31,COIN,ETH= BTC=,Crypto Lender Kokomo's Developers Use Wrapped Bitcoin for $4M ‘Exit Scam’,2023-03-27
109,09:46:49,COIN,ETH= BTC=,First Mover Asia: Bitcoin Is Ready for a Consolidation Phase,2023-03-27
111,19:04:51,COIN,BTC=,"Bitcoin Was a Winner During the U.S. Banking Crisis, but Illiquidity Prevents It From Being a USD Hedge",2023-03-25
112,16:09:02,COIDES,BTC=,First Mover Asia: Blockchain-Enabled SIM Card for Crypto Investors Fuels Conflux Growth; Bitcoin Holds Near $27.3K After Fed Decision,2023-03-25
113,07:31:39,COIN,USD= BTC=,Crypto Pundits Romance the Hyperinflation and Dollar Death Narrative. Is It a Real Scare?,2023-03-25
114,05:38:31,COIN,BTC=,Bitcoin Edges Below $28K as Investors Weigh Deutsche Bank Contagion Fears,2023-03-25
115,05:21:55,COIN,GOOGL.O AMZN.O,"Refinitiv Newscasts - Bitcoin Opportunity Fund Launches, Aims to Raise $100M Fund",2023-03-25
117,03:31:29,COIN,BTC=,Bitcoin From Defunct BTC-e on the Move Again: Report,2023-03-25
119,00:53:18,COIN,BTC=,A Sudden Onset of Hyperinflation: What Will Happen to Bitcoin?,2023-03-25
121,00:29:12,COIN,ETH= BTC=,Do You Believe in (Bitcoin) Magic?,2023-03-25
122,00:07:52,COIN,COIN.O,"Refinitiv Newscasts - Bitcoin Gains Traction as Investors Shrug Off Banking, Fed Concerns",2023-03-25
124,22:16:27,COIN,BTC=,Here's Why Crypto Traders Should Be Attentive to 'De-Inversion' of Treasury Yield Curve,2023-03-24
126,20:08:09,COIN,BTC=,Binance Temporarily Suspends Spot Trading; Bitcoin Dumps $700 Immediately,2023-03-24
127,19:35:08,COIN,BTC=,Bitcoin Mining Industry Is Well Positioned to Participate in a New Cycle: Bernstein,2023-03-24
128,08:17:33,COIN,XRP= TRX=,"First Mover Asia: Bitcoin Regains Momentum as Investors Shrug Off Banking, Fed Concerns",2023-03-24
129,05:39:59,COIN,LTC= BTC=,"Bitcoin Holds Steady Above $28K, Ether Rises in Post-Rate Hike Rally",2023-03-24
130,04:57:55,COIN,COIN.O,Refinitiv Newscasts - Bitcoin Erases Some Gains After Touching Intraday High of $28.8K,2023-03-24
133,23:18:16,COIN,COIN.O,Refinitiv Newscasts - Bitcoin Slips Below $28K After Fed’s Quarter-Point Rate Hike,2023-03-23
134,21:49:28,COIN,BTC=,Jack Dorsey's Block Tumbles 17% After Short Seller Hindenburg's Report,2023-03-23
135,21:06:26,COIN,ETH= BTC=,"Crypto Is the Solution to Bank Runs, Not the Cause",2023-03-23
136,20:38:25,COIN,TRX= COIN.O,First Mover Americas: SEC Warns Coinbase,2023-03-23
137,19:30:12,COIN,BTC=,Bitcoin Miners' Revenue From Fees Rises Suggesting the Onset of Major Bull Run,2023-03-23
138,16:07:44,COIN,XRP= BTC=,Bitcoin Inches Toward $28K as Traders See $260M in Futures Liquidations,2023-03-23
139,10:20:50,COIN,TRX= ETP=,First Mover Asia: Blockchain-Enabled SIM Card for Crypto Investors Fuels Conflux Growth; Bitcoin Holds Near $27.3K After Fed Decision,2023-03-23
140,07:35:14,COIN,USDT= BTC=,"Binance Curb on Zero-Fee Trading May Cost Market Share, Boost TrueUSD Stablecoin: Kaiko Research Head",2023-03-23
141,07:17:22,COIDES,BTC=,"Bitcoin Sinks Below $27K as Fed, Powell Keep Focus on Inflation",2023-03-23
142,06:42:59,COIN,BTC=,"Rapid Bank Runs Reveal Deposits Are Now Magic Internet Money, Too",2023-03-23
143,05:55:47,COIDES,COIN.O,Crypto Exchange Coinbase Suspends Algorand Staking Rewards,2023-03-23
144,05:32:41,COIN,SIVB.O BTC=,Refinitiv Newscasts - Bitcoin Outlook as Fed Chair Powell Addresses Banking Sector Concerns,2023-03-23
145,04:35:52,COIN,XRP= BTC=,"Bitcoin Sinks Below $27K as Fed, Powell Keep Focus on Inflation",2023-03-23
147,04:05:42,COIDES,USD= BTC=,Bitcoin Emerges as Safe Haven as Traditional Finance Faces Turmoil,2023-03-23
148,02:25:41,COIN,BTC=,Federal Reserve Hikes Rates by 25 Basis Points,2023-03-23
149,02:05:40,COIN,USD= BTC=,Bitcoin Emerges as Safe Haven as Traditional Finance Faces Turmoil,2023-03-23
150,01:44:31,COIN,BTC=,The Reality Behind the Crypto Banking Crackdown: ‘Operation Choke Point 2.0’ Is Here,2023-03-23
151,01:29:28,COIN,USDT= BTC=,‘Smart Money’ Tools Reveal Where Crypto Capital Is Moving,2023-03-23
152,00:37:55,COIN,BTC=,Refinitiv Newscasts - American Institutions Are Increasingly Buying Bitcoin: Analyst,2023-03-23
153,00:10:45,COIN,UBSG.S SIVB.O,"Refinitiv Newscasts - Americans Are Buying Bitcoin 'With Both Hands,' Analyst Says",2023-03-23
155,21:23:31,COIN,ETH= BTC=,"ConsenSys’s MetaMask Institutional Starts Staking Marketplace With Allnodes, Blockdaemon, Kiln",2023-03-22
156,21:13:22,COIN,BTC=,Bitcoin Mining Firm Navier Starts Tokenized Hashrate Marketplace for Retail Customers,2023-03-22
157,20:33:07,COIN,BTC=,First Mover Americas: Bitcoin Traders Await Fed's Decision,2023-03-22
158,11:08:45,COIN,DOGE= BTC=,First Mover Asia: Traders Focused on Liquidity & FOMC as Asia Opens Its Business Day,2023-03-22
160,06:04:39,COIN,USD= BTC=,"Bitcoin Holds Firm Above $28K, Equities Rise Amid Banking Sector Rebound",2023-03-22
161,04:39:13,COIN,TSLA.O MSFT.O,Refinitiv Newscasts - Bitcoin Is Surging Despite Global Banking Crisis,2023-03-22
163,03:50:31,COIN,BTC= .SPX,Bitcoin and the Liquidity Question: More Complex Than It Seems,2023-03-22
164,02:50:12,COIN,BTC=,"Magic Eden Embraces Ordinals, Releases Bitcoin NFT Marketplace",2023-03-22
165,00:59:38,COIN,BTC=,Does Bitcoin’s Rally Vindicate the ‘Inflation Hedge’ Thesis – or Is Risk Back on the Menu?,2023-03-22
168,23:36:08,COIN,BTC=,Privacy-Focused Wasabi Wallet Reinstates ‘Coin Control’ Feature in Latest Software Upgrade,2023-03-21
170,20:43:48,COIN,BTC=,First Mover Americas: Bitcoin Holds Steady at $28K Before Fed Meeting,2023-03-21
171,20:37:17,COIDES,BITF.TO,"Bitcoin Miner Bitfarms Sinks to Fourth-Quarter Loss as Difficulty, Costs Rise",2023-03-21
172,19:58:38,COIN,BTC=,"EU Crypto Banking License Procedures Are too Inconsistent, ECB Says",2023-03-21
173,19:58:38,COIN,BTC= BITF.V,"Bitcoin Miner Bitfarms Sinks to Fourth-Quarter Loss as Difficulty, Costs Rise",2023-03-21
174,19:17:34,COIN,USD= BTC=,Fed Preview: Powell Likely to Raise Rates by 25 bps Against Crypto Market's Hope for Status Quo,2023-03-21
175,15:31:27,COIN,BTC=,Bitcoin's Price Rally Driven by Americans' Safe Haven Bid: Matrixport,2023-03-21
176,11:15:47,COIDES,BTC=,First Mover Asia: Crypto VC Funding Was Resilient in the Bear Market. It's Now Powering Through This Mini-Bull Cycle,2023-03-21
177,09:58:54,COIDES,BTC=,Bitcoin Seesaws Below $28K as Investors Eye Fed Interest Rate Decision,2023-03-21
178,09:48:07,COIN,BTC=,First Mover Asia: Crypto VC Funding Was Resilient in the Bear Market. It’s Now Powering Through This Mini-Bull Cycle,2023-03-21
179,08:24:24,COIN,USD= BTC=,Bitcoin Seesaws Below $28K as Investors Eye Fed Interest Rate Decision,2023-03-21
180,05:20:26,COIN,UBSG.S SIVB.O,Refinitiv Newscasts - Failed Signature Bank Developments; Bitcoin’s Bullish Sentiment,2023-03-21
181,04:41:27,COIN,COIN.O,Refinitiv Newscasts - Bitcoin Has Risen Nearly 70% Year-to-Date,2023-03-21
183,02:42:55,COIN,ETH=,Digital Asset Outflows Continue for 6th Week Despite Bitcoin Price Surge,2023-03-21
184,02:30:19,COIN,MGM.N,Refinitiv Newscasts - Open Interest in Bitcoin Futures Reaches Yearly High of $12B: Coinglass Data,2023-03-21
185,02:12:00,COIN,SBNY.O COIN.O,Refinitiv Newscasts - Balaji Srinivasan Predicts Bitcoin's Price Will Hit $1M,2023-03-21
187,00:07:41,COIN,CSGN.S BTC=,Credit Suisse’s Buyout Shows Banks Still Have a Banking Problem,2023-03-21
188,00:00:12,COIN,USD= MGM.N,Refinitiv Newscasts - Bitcoin Surpasses $28K for the First Time Since Last June,2023-03-21
190,23:44:04,COIN,UBSG.S SIVB.O,Refinitiv Newscasts - Bitcoin Breaks Above $28K as UBS Agrees to Buy Credit Suisse,2023-03-20
191,23:05:04,COIN,BTC=,Senator Cynthia 'Crypto Queen' Lummis: Lack of Laws Pushing Industry Overseas,2023-03-20
192,21:42:13,COIDES,USD= BTC=,"First Mover Americas: Bitcoin, as Safety Play, Climbs Past $28K",2023-03-20
193,21:38:55,COIDES,FRC.N SBNY.O,Cryptocurrency Market to See More Upside Following Bank Problems: Bernstein,2023-03-20
194,20:35:05,COIN,USD= BTC=,"First Mover Americas: Bitcoin, as Safety Play, Climbs Past $28K",2023-03-20
195,19:18:43,COIN,COIN.O BTC=,Cryptocurrency Outlook Is Strengthened by U.S. Banking Turmoil: Coinbase,2023-03-20
196,18:55:32,COIN,ETH= BTC=,"Crypto Market Witnesses Odd Relationship Between Bitcoin, Ether Volatility Metrics",2023-03-20
197,17:34:30,COIN,USD= BTC=,Open Interest in Bitcoin Futures Hits Yearly High of $12B,2023-03-20
198,17:06:29,COIN,BTC=,"Bitcoin and Stablecoins Will Bring Crypto Mass Adoption to Africa, Experts Say",2023-03-20
199,10:56:49,COIN,USD= BTC=,"Fed, ECB and Others Take Coordinated Steps to Boost Dollar Liquidity; Bitcoin Tops $28K",2023-03-20
201,09:49:06,COIN,BTC=,First Mover Asia: Bitcoin Is Being Made Great Again,2023-03-20
203,18:46:42,COIN,USD= BTC=,U.S. Banking Cutoff Presents Opportunities for Crypto in Europe,2023-03-19
205,04:13:36,COIN,SIVB.O FRC.N,Refinitiv Newscasts - Bitcoin Flirts With $27K Following Silicon Valley Bank's Failure,2023-03-18
206,02:31:05,COIN,BTC=,This Crisis Will Define the Future of Money,2023-03-18
207,01:07:21,COIDES,COIN.O,"Coinbase, Hut 8 and Other Crypto Stocks Rise as Bitcoin Surpasses $26K",2023-03-18
208,00:14:29,COIN,USD= SIVB.O,Bitcoin Is a Clear Winner of the U.S. Banking Crisis,2023-03-18
209,00:14:29,COIN,COIN.O,"Coinbase, Hut 8 and Other Crypto Stocks Rise as Bitcoin Surpasses $26K",2023-03-18
211,23:38:49,COIN,USD= SIVB.O,SVB Collapse Shows the Rot in U.S. Banking and Dollars,2023-03-17
212,23:33:35,COIN,COIN.O,Refinitiv Newscasts - Bitcoin Outlook Ahead of Upcoming Federal Reserve Interest Rate Decision,2023-03-17
213,23:27:33,COIN,SIVB.O FRC.N,Refinitiv Newscasts - Bitcoin Busts Through $26K Despite Banking Crisis Jitters,2023-03-17
214,21:18:37,COIN,BTC=,Crypto Derivatives Protocol Volmex Finance's Bitcoin and Ether Volatility Charts Now Live on TradingView,2023-03-17
217,18:19:44,COIN,BTC=,Bitcoin Is Benefiting From Crypto’s Flight to Quality: Matrixport,2023-03-17
218,15:54:41,COIN,BTC=,Bitcoin Breakout Has Put $28K in Cross Hairs,2023-03-17
219,10:48:13,COIN,ETH= BTC=,First Mover Asia: Asia Pushes Bitcoin Past $25K,2023-03-17
220,07:07:08,COIN,ETH= BTC=,Bitcoin Ordinals Custody Solutions Would Be Better if They Embraced Bitcoiner Values,2023-03-17
221,06:39:07,COIN,BTC=,Lightning Labs’ Taro Project Faces Halt as Judge Issues Temporary Injunction for Trademark Infringement,2023-03-17
222,05:44:55,COIN,BTC=,U.S. Banking Collapse Doesn't Necessarily Make Crypto Trustworthy,2023-03-17
224,04:37:24,COIN,SIVB.O SBNY.O,Refinitiv Newscasts - Osprey Funds CEO on Bitcoin Outlook Amid Banking Sector Concerns,2023-03-17
227,04:16:30,COIN,ETP= ETH=,21Shares Closes 6 Crypto Exchange-Traded Products,2023-03-17
228,04:16:30,COIN,BTC= BNB=,Bitcoin Holds Steady Above $25K as Euro Banking Crisis Eases,2023-03-17
229,03:35:48,COIDES,SBNY.O,"Investors Pull Coins From Bitcoin Funds; SVB, Signature Bank Developments",2023-03-17
232,23:28:14,COIN,BTC=,"Yuga Labs Summons Fans to Mint HV-MTL NFTs, Prices Soar on OpenSea",2023-03-16
233,23:25:19,COIN,SIVB.O CSGN.S,Refinitiv Newscasts - Bitcoin Below $25K as Market Debates Liquidity,2023-03-16
237,20:57:03,COIN,BTC=,First Mover Americas: Investors Pull Coins From Bitcoin Funds,2023-03-16
238,20:33:47,COIDES,BTC=,Bitcoin Holds Steady; Dogecoin Leads Slide in Major Cryptocurrencies as Traders Lock In Gains,2023-03-16
239,19:24:45,COIN,XRP= DOGE=,Bitcoin Holds Steady; Dogecoin Leads Slide in Major Cryptocurrencies as Traders Lock In Gains,2023-03-16
240,17:19:41,COIN,BTC= BNB=,"Bitcoin Held in Funds Drops to Lowest Since October 2021, ByteTree Data Shows",2023-03-16
241,10:59:11,COIDES,BTC=,First Mover Asia: Bitcoin Dips Below $25K as Market Debates Liquidity,2023-03-16
242,10:43:14,COIN,BTC=,First Mover Asia: Bitcoin Dips Below $25K as Market Debates Liquidity,2023-03-16
243,06:17:24,COIN,BTC=,Bitcoin Slides Below $24.5K as European Banking Woes Spook Investors,2023-03-16
244,06:13:04,COIN,SIVB.O,Refinitiv Newscasts - Bitcoin Dominance Reaches 9-Month High: Data,2023-03-16
247,02:00:03,COIN,MS.N,Refinitiv Newscasts - Bitcoin Trading as a Speculative Asset Rather Than a Currency: Morgan Stanley,2023-03-16
248,01:34:12,COIDES,BTC=,Bitcoin Dominance Reaches 9-Month High,2023-03-16
249,00:56:22,COIN,ETH= BTC=,Don’t Get Your Hopes Up: SVB's Demise Won't Bring Interest Rates Down,2023-03-16
250,00:56:22,COIN,BTC=,Bitcoin Dominance Reaches 9-Month High,2023-03-16
252,00:24:01,COIN,BTC=,Crypto Long & Short: Finding Alpha in AI-Related Crypto,2023-03-16
253,00:24:01,COIN,BTC=,Evaluating Bitcoin as a Store of Value,2023-03-16
255,23:52:54,COIN,SIVB.O SI.N,When Will Crypto Learn From the Mistakes of Banks?,2023-03-15
256,23:23:27,COIN,SIVB.O BTC=,Refinitiv Newscasts - Bitcoin Hovers Around $25K After Reaching Nine-Month High,2023-03-15
258,22:42:42,COIN,BTC=,Crypto Winter Ends Era of Bitcoin Mining ‘Hodlers’,2023-03-15
259,22:05:44,COIDES,MS.N BTC=,"Bitcoin Isn't Trading as a Currency, but as a Speculative Asset: Morgan Stanley",2023-03-15
260,20:49:10,COIN,ETH= BTC=,First Mover Americas: Bitcoin Falls Back to Below $25K,2023-03-15
261,20:26:59,COIN,BTC=,Bitcoin Options Market Still Afraid of USDC Volatility,2023-03-15
262,19:50:34,COIN,MS.N BTC=,"Bitcoin Isn’t Trading as a Currency, but as a Speculative Asset: Morgan Stanley",2023-03-15
263,14:57:18,COIDES,BTC=,"Bitcoin, Ether Volatility Stuns Bears And Bulls Alike; Some Say Recent Price Action Driven by Bank Crisis",2023-03-15
264,14:37:49,COIN,BTC=,"Bitcoin, Ether Volatility Stuns Bears And Bulls Alike; Some Say Recent Price Action Driven by Bank Crisis",2023-03-15
265,11:33:16,COIN,BTC= .SPX,"First Mover Asia: Bitcoin Holds Near $25K as Investors Remain Upbeat About Inflation Data, Fed Rate Hikes",2023-03-15
267,08:52:05,COIN,ETH= BTC=,"Bitcoin Gains Early, Fades Late to Trade Below $25K",2023-03-15
270,21:34:06,COIN,BTC=,First Mover Americas: Bitcoin Hits 9-Month High,2023-03-14
273,19:19:50,COIN,BTC=,Bitcoin Options Volume on Deribit Hits Highest Level in 22 Months as Bank Failures Breed Volatility,2023-03-14
274,17:37:19,COIDES,USD= BTC=,Bitcoin Nears $25K as Interbank Funding Stress Indicator Surges to Highest Level Since COVID Crash,2023-03-14
275,17:18:15,COIN,BTC=,Bitcoin Nears $25K as Interbank Funding Stress Indicator Surges to Highest Level Since COVID Crash,2023-03-14
276,15:31:58,COIDES,BTC=,"Bitcoin Crosses $24.7K, Sees Highest Liquidations in Two Months",2023-03-14
277,14:26:30,COIN,BTC=,"Bitcoin Crosses $24.7K, Sees Highest Liquidations in Two Months",2023-03-14
278,10:29:00,COIDES,EUR=,First Mover Asia: Bitcoin's Store of Value Narrative Is on Full Display; Crypto Prices Stay Green,2023-03-14
279,10:12:26,COIN,USDT= DOGE=,First Mover Asia: Bitcoin’s Store of Value Narrative Is on Full Display; Crypto Prices Stay Green,2023-03-14
281,07:29:06,COIN,BTC= BNB=,"Bitcoin Spike to $24.5K Stemmed From Regulators' Bank Interventions, Binance Stablecoin Conversion, Investor Hopes for Fed Dovishness",2023-03-14
282,07:29:06,COIN,BTC=,Banking Crisis Won’t Kill Crypto-Banking Despite Short-Term Pain,2023-03-14
283,06:49:45,COIN,SIVB.O SI.N,Bitcoin Was Built for This Moment,2023-03-14
284,05:30:26,COIN,USD= BTC=,It’s Not Just Fraud That Chilled Crypto Regulation,2023-03-14
287,02:24:50,COIN,BTC=,Crypto Fund Outflows Hit Record Weekly Level,2023-03-14
290,00:47:41,COIN,SIVB.O BTC=,Bitcoin Surges 18% as $300M in Derivatives Positions Liquidated,2023-03-14
292,23:07:22,COIDES,MARA.O,CDCROP: Marathon Digital CEO Fred Thiel interview at Bitcoin conference in Miami,2023-03-13
293,22:49:21,COIN,SBNY.O MARA.O,Bitcoin Miner Marathon Says It Still Has Access to $142M at Signature Bank,2023-03-13
295,21:58:43,COIN,BTC=,Stepn Was a Runaway Success During COVID but Can It Keep Moving Forward?,2023-03-13
296,21:28:13,COIN,SIVB.O BTC=,First Mover Americas: Bitcoin Gains as FDIC Steps In for Silicon Valley Bank,2023-03-13
